Long Covid--- Long Covid: 0.0;;;TimesVisited: 32488.3
Wheezing or stridor ?--- Wheezing or stridor ?: 0.014200685355514775;;;TimesVisited: 16.1
Viral pneumonia/pneumonitis?--- Viral pneumonia/pneumonitis?: 0.014200685355514775;;;TimesVisited: 16.8
Treatments administered: (choice=Remdesivir)--- Treatments administered: (choice=Remdesivir): 0.014200685355514775;;;TimesVisited: 16.1
Shortness of breath (Dyspnea) ?.1--- Shortness of breath (Dyspnea) ?.1: 0.014200685355514775;;;TimesVisited: 16.4
Extremity weakness or numbness ?.1--- Extremity weakness or numbness ?.1: 0.014200685355514775;;;TimesVisited: 16.0
Sore throat ?.1--- Long Covid: 0.014200685355514775;;;TimesVisited: 16.7
Other chronic cardiac disease ?--- Other chronic cardiac disease ?: 0.015696488757371507;;;TimesVisited: 15.5
Other chronic cardiac disease ?--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.0
Prior stroke ? --- Long Covid: 0.015696488757371507;;;TimesVisited: 15.9
Prior myocardial infarction ?--- Prior myocardial infarction ?: 0.015696488757371507;;;TimesVisited: 15.3
Systemic corticosteroid?--- Systemic corticosteroid?: 0.015696488757371507;;;TimesVisited: 15.1
Shortness of breath (Dyspnea) ?--- Shortness of breath (Dyspnea) ?: 0.015696488757371507;;;TimesVisited: 15.3
Extremity weakness or numbness ?--- Extremity weakness or numbness ?: 0.015696488757371507;;;TimesVisited: 15.8
Extremity weakness or numbness ?--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.1
Nausea / vomiting ?--- Nausea / vomiting ?: 0.015696488757371507;;;TimesVisited: 15.8
ICU admission?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.015696488757371507;;;TimesVisited: 15.6
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- Treatments administered: (choice=Other antibiotic (specify)): 0.015696488757371507;;;TimesVisited: 15.8
Respiratory rate (associated with BP above):--- Respiratory rate (associated with BP above):: 0.015696488757371507;;;TimesVisited: 15.6
Respiratory rate (associated with BP above):.1--- Respiratory rate (associated with BP above):.1: 0.015696488757371507;;;TimesVisited: 15.1
Glasgow Coma Scale (GCS) - lowest value:--- Glasgow Coma Scale (GCS) - lowest value:: 0.015696488757371507;;;TimesVisited: 15.4
If yes: (choice=Oxygen therapy with cannula/mask)--- If yes: (choice=Oxygen therapy with cannula/mask): 0.015696488757371507;;;TimesVisited: 15.8
Total WBC count:--- Total WBC count:: 0.015696488757371507;;;TimesVisited: 15.7
C-reactive protein (CRP):--- C-reactive protein (CRP):: 0.015696488757371507;;;TimesVisited: 15.2
Glucose:--- Glucose:: 0.015696488757371507;;;TimesVisited: 15.9
If yes, specify virus: (choice=Other, specify)--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.9
If yes (check all that apply): (choice=Non-invasive cannula/mask support)--- Treatments administered: (choice=Systematic corticosteroid): 0.015696488757371507;;;TimesVisited: 15.2
Sodium Na+ (HIGHEST value)--- Sodium Na+ (HIGHEST value): 0.015696488757371507;;;TimesVisited: 15.7
Confusion / altered mental status ?.1--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.5
Chest pain ?.1--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.2
Wheezing or stridor ?.1--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.9
Self-care--- Self-care: 0.015696488757371507;;;TimesVisited: 15.1
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Long Covid: 0.015696488757371507;;;TimesVisited: 15.8
Living where?--- Living where?: 0.017385396495981253;;;TimesVisited: 14.8
Malignant neoplasm ?--- Long Covid: 0.017385396495981253;;;TimesVisited: 14.1
Other immunosuppressive medications?--- Other immunosuppressive medications?: 0.017385396495981253;;;TimesVisited: 14.8
Ear pain ?--- Ear pain ?: 0.017385396495981253;;;TimesVisited: 14.3
Skin rash ?--- Skin rash ?: 0.017385396495981253;;;TimesVisited: 14.5
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.017385396495981253;;;TimesVisited: 14.7
Sodium Na+:--- Sodium Na+:: 0.017385396495981253;;;TimesVisited: 14.0
If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC))--- If yes (check all that apply): (choice=Non-invasive support via High-flow nasal cannula (HFNC)): 0.017385396495981253;;;TimesVisited: 14.7
If yes (check all that apply): (choice=Inhaled nitric oxide (iNO))--- Long Covid: 0.017385396495981253;;;TimesVisited: 14.2
Treatments administered: (choice=Hydroxychloroquine (Plaquenil))--- Treatments administered: (choice=Hydroxychloroquine (Plaquenil)): 0.017385396495981253;;;TimesVisited: 14.8
Obesity ?--- Obesity ?: 0.01930028987022181;;;TimesVisited: 13.9
Cough ?--- Cough ?: 0.01930028987022181;;;TimesVisited: 13.3
Has an arterial gas assessment been performed?--- Has an arterial gas assessment been performed?: 0.01930028987022181;;;TimesVisited: 13.8
If yes: (choice=Oxygen therapy with cannula/mask)--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.01930028987022181;;;TimesVisited: 13.8
Oxygen therapy--- Oxygen therapy: 0.01930028987022181;;;TimesVisited: 13.0
Treatments administered: (choice=Azithromycin (Zithromax))--- Treatments administered: (choice=Other antibiotic (specify)): 0.01930028987022181;;;TimesVisited: 13.2
Treatments administered: (choice=Other antibiotic (specify))--- Treatments administered: (choice=Azithromycin (Zithromax)): 0.01930028987022181;;;TimesVisited: 13.0
Treatments administered: (choice=Systematic corticosteroid)--- Treatments administered: (choice=Other antibiotic (specify)): 0.01930028987022181;;;TimesVisited: 13.1
Runny nose (Rhinorrhea) ?.1--- Long Covid: 0.01930028987022181;;;TimesVisited: 13.3
Cough ?.1--- Cough ?.1: 0.01930028987022181;;;TimesVisited: 13.7
Height in m:--- Height in m:: 0.021481803649049613;;;TimesVisited: 12.9
Other chronic neurological disorder (other than stroke/TIA) ?--- Long Covid: 0.021481803649049613;;;TimesVisited: 12.0
HGO or insulin?--- Diabetes ?: 0.021481803649049613;;;TimesVisited: 12.3
Chronic hematologic disease ?--- Chronic hematologic disease ?: 0.021481803649049613;;;TimesVisited: 12.2
Diarrhea ?--- Long Covid: 0.021481803649049613;;;TimesVisited: 12.3
Chest pain ?--- Chest pain ?: 0.021481803649049613;;;TimesVisited: 12.5
Nausea / vomiting ?--- Long Covid: 0.021481803649049613;;;TimesVisited: 12.4
Electrocardiogram (ECG)?--- Electrocardiogram (ECG)?: 0.021481803649049613;;;TimesVisited: 12.9
If yes (check all that apply): (choice=Non-invasive cannula/mask support)--- Treatments administered: (choice=Other antibiotic (specify)): 0.021481803649049613;;;TimesVisited: 12.0
How much difficulty do you have transferring from a chair to a bed?--- How much difficulty do you have transferring from a chair to a bed?: 0.021481803649049613;;;TimesVisited: 12.3
Sexe:--- Height in m:: 0.02398086882068673;;;TimesVisited: 11.0
Level of care (final):--- Age at arrival:: 0.02398086882068673;;;TimesVisited: 11.2
Electronic cigarettes?--- Long Covid: 0.02398086882068673;;;TimesVisited: 11.2
Immunosupressed state?--- Immunosupressed state?: 0.02398086882068673;;;TimesVisited: 11.5
Obesity ?--- Long Covid: 0.02398086882068673;;;TimesVisited: 11.9
Psychiatric disease?--- Psychiatric disease?: 0.02398086882068673;;;TimesVisited: 11.3
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- Treatments administered: (choice=Systematic corticosteroid): 0.02398086882068673;;;TimesVisited: 11.4
Did or does the patient receive adjunctive therapy?--- Did or does the patient receive adjunctive therapy?: 0.02398086882068673;;;TimesVisited: 11.2
Duration of hospitalization:--- Duration of hospitalization:: 0.02398086882068673;;;TimesVisited: 11.6
Disposition:--- Disposition:: 0.02398086882068673;;;TimesVisited: 11.1
CT Thorax?--- CT Thorax?: 0.02398086882068673;;;TimesVisited: 11.6
Ventilatory support:--- Ventilatory support:: 0.02398086882068673;;;TimesVisited: 11.7
Treatments administered: (choice=Systematic corticosteroid)--- If yes (check all that apply): (choice=Non-invasive cannula/mask support): 0.02398086882068673;;;TimesVisited: 11.5
Adjunctive therapy during hospitalization--- Adjunctive therapy during hospitalization: 0.02398086882068673;;;TimesVisited: 11.5
Usual activities, including work, study, housework, family or leisure activities:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.02398086882068673;;;TimesVisited: 11.7
Fatigue ?.1--- Fatigue ?.1: 0.02398086882068673;;;TimesVisited: 11.7
Ear pain ?.1--- Long Covid: 0.02398086882068673;;;TimesVisited: 11.3
Leg swelling (Edema) ?.1--- Leg swelling (Edema) ?.1: 0.02398086882068673;;;TimesVisited: 11.7
Cough ?.1--- Long Covid: 0.02398086882068673;;;TimesVisited: 11.7
How much difficulty do you have walking across a room?--- How much difficulty do you have walking across a room?: 0.02398086882068673;;;TimesVisited: 11.5
How many times have you fallen in the past year?--- How many times have you fallen in the past year?: 0.02398086882068673;;;TimesVisited: 11.7
Sexe:--- From which company did the participant receive the vaccine?: 0.02686238763034654;;;TimesVisited: 10.3
Other chronic neurological disorder (other than stroke/TIA) ?--- Other chronic neurological disorder (other than stroke/TIA) ?: 0.02686238763034654;;;TimesVisited: 10.7
ACE inhibitor or Angiotensin Receptor Blocker?--- Arterial Hypertension ?: 0.02686238763034654;;;TimesVisited: 10.1
COPD (emphysema, chronic bronchitis) ?--- Long Covid: 0.02686238763034654;;;TimesVisited: 10.1
Muscle aches (Myalgia) ?--- Joint pain (Arthralgia) ?: 0.02686238763034654;;;TimesVisited: 10.6
Confusion / altered mental status ?--- Confusion / altered mental status ?: 0.02686238763034654;;;TimesVisited: 10.5
Confusion / altered mental status ?--- Long Covid: 0.02686238763034654;;;TimesVisited: 10.1
Hemoptysis / Bloody sputum ?--- Hemoptysis / Bloody sputum ?: 0.02686238763034654;;;TimesVisited: 10.8
