Time of blood draw:--- Long Covid: 0.0;;;TimesVisited: 2656.6
Sore throat ?--- Sore throat ?: 0.010360582260405926;;;TimesVisited: 101.3
Number of comorbidities: --- Time of blood draw:: 0.010360582260405926;;;TimesVisited: 101.9
Does the patient have other comorbidities?--- Does the patient have other comorbidities?: 0.010579386061358442;;;TimesVisited: 100.9
Muscle aches (Myalgia) ?--- Long Covid: 0.010579386061358442;;;TimesVisited: 100.8
Blood drawn for the BQC19?--- How was this follow-up completed?: 0.010803382453738797;;;TimesVisited: 99.5
How much difficulty do you have lifting or carrying 10 lbs?--- How much difficulty do you have lifting or carrying 10 lbs?: 0.011032715574896712;;;TimesVisited: 98.4
Smoking status:--- Smoking status:: 0.01126753441556283;;;TimesVisited: 97.4
Type of sample used for the PCR test determining the participant's COVID status:--- Long Covid: 0.011507993021880325;;;TimesVisited: 96.5
Time of blood draw:--- How was this follow-up completed?: 0.011507993021880325;;;TimesVisited: 96.9
Shortness of breath (Dyspnea) ?.1--- Shortness of breath (Dyspnea) ?.1: 0.011507993021880325;;;TimesVisited: 96.3
Sexe:--- Sex at birth:: 0.011754250707793235;;;TimesVisited: 95.4
Smoking status:--- Time of blood draw:: 0.012264828265190375;;;TimesVisited: 93.6
Skin rash ?--- Skin rash ?: 0.012264828265190375;;;TimesVisited: 93.1
Type of sample used for the PCR test determining the participant's COVID status:--- Time of blood draw:: 0.012264828265190375;;;TimesVisited: 93.0
Time of blood draw:--- Breathlessness:: 0.012264828265190375;;;TimesVisited: 93.2
Sexe:--- Sexe:: 0.012529495173216332;;;TimesVisited: 92.3
Sex at birth:--- Sexe:: 0.012529495173216332;;;TimesVisited: 92.1
Sex at birth:--- Sex at birth:: 0.012529495173216332;;;TimesVisited: 92.4
Does the patient have other comorbidities?--- Number of comorbidities: : 0.012529495173216332;;;TimesVisited: 92.4
Sex at birth:--- Long Covid: 0.013078499220867457;;;TimesVisited: 90.3
Time of blood draw:--- Usual activities, including work, study, housework, family or leisure activities:: 0.013078499220867457;;;TimesVisited: 90.0
Have you been diagnosed with a new or recurrent case of COVID since your last follow-up?--- Long Covid: 0.013078499220867457;;;TimesVisited: 90.4
Delay between the diagnosis and the draw blood for the follow up--- Delay between the onset of symptoms  and the draw blood : 0.013363221657365476;;;TimesVisited: 89.5
Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?--- Long Covid: 0.013655026204447474;;;TimesVisited: 88.9
Height in m:--- Height in m:: 0.013954123442602384;;;TimesVisited: 87.0
Prior myocardial infarction ?--- Long Covid: 0.013954123442602384;;;TimesVisited: 87.2
Has the participant been vaccinated?--- Has the participant been vaccinated?: 0.013954123442602384;;;TimesVisited: 87.6
Sexe:--- Long Covid: 0.014260731721038589;;;TimesVisited: 86.8
Does the patient have other comorbidities?--- Long Covid: 0.014575077518180546;;;TimesVisited: 85.2
Wheezing or stridor ?--- Wheezing or stridor ?: 0.015227930538406653;;;TimesVisited: 83.7
Blood drawn for the BQC19?--- Delay between the onset of symptoms  and the draw blood : 0.015227930538406653;;;TimesVisited: 83.5
Type of repeat hospital visit: (choice=Emergency room visit)--- Long Covid: 0.015227930538406653;;;TimesVisited: 83.4
Number of doses received:--- Time of blood draw:: 0.015566934908967212;;;TimesVisited: 82.4
Breathlessness:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.015566934908967212;;;TimesVisited: 82.3
Psychiatric disease?--- Psychiatric disease?: 0.015914671973512373;;;TimesVisited: 81.5
Number of comorbidities: --- Does the patient have other comorbidities?: 0.015914671973512373;;;TimesVisited: 81.4
Time of blood draw:--- Shortness of breath (Dyspnea) ?: 0.015914671973512373;;;TimesVisited: 81.6
Usual activities, including work, study, housework, family or leisure activities:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.015914671973512373;;;TimesVisited: 81.9
Fever (?38.0 Celcius) ?--- Long Covid: 0.016271415045635118;;;TimesVisited: 80.1
Mobility--- Mobility: 0.016271415045635118;;;TimesVisited: 80.3
Time of blood draw:--- Loss of taste / lost of smell ?: 0.016637448223407958;;;TimesVisited: 79.8
How many times have you fallen in the past year?--- How many times have you fallen in the past year?: 0.016637448223407958;;;TimesVisited: 79.2
Asymptomatic?--- Asymptomatic?: 0.017013066930736453;;;TimesVisited: 78.2
Ongoing consent status:--- Ongoing consent status:: 0.017013066930736453;;;TimesVisited: 78.9
Time of blood draw:--- Age au recrutement:: 0.01739857849270099;;;TimesVisited: 77.9
Headache ?--- Long Covid: 0.017794302747481616;;;TimesVisited: 76.9
Time of blood draw:--- How would you rate your current level of functioning? See options above.: 0.017794302747481616;;;TimesVisited: 76.7
Time of blood draw:--- Age at arrival:: 0.018200572697701034;;;TimesVisited: 75.9
Time of blood draw:--- Pain and discomfort:: 0.018200572697701034;;;TimesVisited: 75.3
From which company did the participant receive the vaccine?--- How was this follow-up completed?: 0.018617735204271235;;;TimesVisited: 74.5
Time of blood draw:--- Collected:: 0.019046151726129;;;TimesVisited: 73.5
Loss of taste / lost of smell ?.1--- Time of blood draw:: 0.019046151726129;;;TimesVisited: 73.7
Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?--- Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?: 0.019046151726129;;;TimesVisited: 73.1
Is the participant employed as a Healthcare Worker?  --- Is the participant employed as a Healthcare Worker?  : 0.01948619910955196;;;TimesVisited: 72.1
Confusion / altered mental status ?--- Confusion / altered mental status ?: 0.01948619910955196;;;TimesVisited: 72.4
Time of blood draw:--- Anxiety and depression:: 0.01948619910955196;;;TimesVisited: 72.1
Anxiety and depression:--- Time of blood draw:: 0.019938270431110294;;;TimesVisited: 71.6
Breathlessness:--- Time of blood draw:: 0.021370821612351154;;;TimesVisited: 68.9
Delay between the onset of symptoms  and the draw blood --- How was this follow-up completed?: 0.021370821612351154;;;TimesVisited: 68.4
Cough ?.1--- Cough ?.1: 0.021370821612351154;;;TimesVisited: 68.4
COPD (emphysema, chronic bronchitis) ?--- Long Covid: 0.021875276954224088;;;TimesVisited: 67.6
Time of blood draw:--- Joint pain (Arthralgia) ?: 0.021875276954224088;;;TimesVisited: 67.8
Collected:--- How was this follow-up completed?: 0.021875276954224088;;;TimesVisited: 67.0
Height in m:--- Long Covid: 0.022393998927573322;;;TimesVisited: 66.5
Living with?--- Time of blood draw:: 0.022393998927573322;;;TimesVisited: 66.1
Time of blood draw:--- Chest pain ?: 0.022393998927573322;;;TimesVisited: 66.0
Ear pain ?--- Ear pain ?: 0.022393998927573322;;;TimesVisited: 66.7
If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?--- If a screening test for SARS-CoV-2 by PCR was performed, what is the most severe severity level (according to WHO) achieved?: 0.022393998927573322;;;TimesVisited: 66.8
Pain and discomfort:--- Time of blood draw:: 0.022393998927573322;;;TimesVisited: 66.6
Type of repeat hospital visit: (choice=Emergency room visit)--- Type of repeat hospital visit: (choice=Emergency room visit): 0.022393998927573322;;;TimesVisited: 66.5
Living with?--- Long Covid: 0.022927499315572253;;;TimesVisited: 65.3
Runny nose (Rhinorrhea) ?--- Time of blood draw:: 0.022927499315572253;;;TimesVisited: 65.7
Time of blood draw:--- Number of comorbidities: : 0.022927499315572253;;;TimesVisited: 65.3
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.022927499315572253;;;TimesVisited: 65.9
From which company did the participant receive the vaccine?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.022927499315572253;;;TimesVisited: 65.6
Country of birth:--- How was this follow-up completed?: 0.023476313969282736;;;TimesVisited: 64.5
Usual activities, including work, study, housework, family or leisure activities:--- Time of blood draw:: 0.023476313969282736;;;TimesVisited: 64.0
Headache ?.1--- Headache ?.1: 0.023476313969282736;;;TimesVisited: 64.5
Country of birth:--- From which company did the participant receive the vaccine?: 0.024041004283547607;;;TimesVisited: 63.0
Was this follow-up visit completed?--- Long Covid: 0.024041004283547607;;;TimesVisited: 63.3
Pulmonary hypertension ?--- Long Covid: 0.024622158787393822;;;TimesVisited: 62.0
Shortness of breath (Dyspnea) ?.1--- Time of blood draw:: 0.024622158787393822;;;TimesVisited: 62.7
From which company did the participant receive the vaccine?--- Country of birth:: 0.025220394859808537;;;TimesVisited: 61.5
Time of blood draw:--- Weight in kg:: 0.025220394859808537;;;TimesVisited: 61.4
Did the participant experience any side effects?--- Time of blood draw:: 0.025220394859808537;;;TimesVisited: 61.1
How was this follow-up completed?--- Delay between the diagnosis and the draw blood for the follow up: 0.025220394859808537;;;TimesVisited: 61.6
Collected:--- Time of blood draw:: 0.02647073674649869;;;TimesVisited: 59.0
Time of blood draw:--- Number of doses received:: 0.02647073674649869;;;TimesVisited: 59.8
Did the participant experience any side effects?--- Long Covid: 0.02647073674649869;;;TimesVisited: 59.2
Time of blood draw:--- BMI:: 0.02779762029381949;;;TimesVisited: 57.8
Please specify drugs used. (choice=Cannabis)--- Please specify drugs used. (choice=Cannabis): 0.02779762029381949;;;TimesVisited: 57.1
Shortness of breath (Dyspnea) ?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.02779762029381949;;;TimesVisited: 57.3
Cough ?--- Time of blood draw:: 0.02779762029381949;;;TimesVisited: 57.6
Time of blood draw:--- Type of sample used for the PCR test determining the participant's COVID status:: 0.02779762029381949;;;TimesVisited: 57.6
Fatigue ?.1--- Time of blood draw:: 0.02779762029381949;;;TimesVisited: 57.4
Cough ?.1--- Time of blood draw:: 0.02779762029381949;;;TimesVisited: 57.6
How many times have you fallen in the past year?--- Time of blood draw:: 0.02779762029381949;;;TimesVisited: 57.5
Obesity ?--- Long Covid: 0.02849167325851243;;;TimesVisited: 56.5
Loss of taste / lost of smell ?--- Time of blood draw:: 0.02849167325851243;;;TimesVisited: 56.5
How was this follow-up completed?--- Blood drawn for the BQC19?: 0.02849167325851243;;;TimesVisited: 56.8
Time of blood draw:--- How much difficulty do you have climbing a flight of 10 stairs?: 0.02849167325851243;;;TimesVisited: 56.3
Loss of appetite ?--- Time of blood draw:: 0.029207233157711454;;;TimesVisited: 55.1
Time of blood draw:--- Has the participant had any new disease and/or worsening and/or deterioration of a pre-existing disease?: 0.029207233157711454;;;TimesVisited: 55.6
BMI:--- Long Covid: 0.02994518082492459;;;TimesVisited: 54.6
Drugs?--- Time of blood draw:: 0.02994518082492459;;;TimesVisited: 54.7
Please specify drugs used. (choice=Cannabis)--- Time of blood draw:: 0.02994518082492459;;;TimesVisited: 54.1
Country of birth:--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.030706445979102215;;;TimesVisited: 53.2
Psychiatric disease?--- Time of blood draw:: 0.030706445979102215;;;TimesVisited: 53.5
Time of blood draw:--- Diarrhea ?: 0.030706445979102215;;;TimesVisited: 53.4
Muscle aches (Myalgia) ?--- Time of blood draw:: 0.030706445979102215;;;TimesVisited: 53.8
Has the participant had any new disease and/or worsening and/or deterioration of a pre-existing disease?--- Time of blood draw:: 0.030706445979102215;;;TimesVisited: 53.6
Headache ?.1--- Time of blood draw:: 0.030706445979102215;;;TimesVisited: 53.7
Is the participant employed as a Healthcare Worker?  --- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.1
Diarrhea ?--- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.0
Chest pain ?--- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.8
Dizziness ?--- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.4
Fever (?38.0 Celcius) ?--- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.6
Time of blood draw:--- Loss of appetite ?: 0.031492010826710826;;;TimesVisited: 52.1
Sore throat ?--- Time of blood draw:: 0.031492010826710826;;;TimesVisited: 52.5
Breathlessness:--- How much difficulty do you have climbing a flight of 10 stairs?: 0.031492010826710826;;;TimesVisited: 52.8
How much difficulty do you have walking across a room?--- How much difficulty do you have walking across a room?: 0.031492010826710826;;;TimesVisited: 52.4
How much difficulty do you have transferring from a chair to a bed?--- Long Covid: 0.031492010826710826;;;TimesVisited: 52.6
Sexe:--- Time of blood draw:: 0.032302914002236616;;;TimesVisited: 51.1
Sex at birth:--- Time of blood draw:: 0.032302914002236616;;;TimesVisited: 51.1
Weight in kg:--- BMI:: 0.032302914002236616;;;TimesVisited: 51.3
Drugs?--- Drugs?: 0.032302914002236616;;;TimesVisited: 51.9
Drugs?--- Please specify drugs used. (choice=Cannabis): 0.032302914002236616;;;TimesVisited: 51.9
Asthma ?--- Time of blood draw:: 0.032302914002236616;;;TimesVisited: 51.8
Malignant neoplasm ?--- Malignant neoplasm ?: 0.032302914002236616;;;TimesVisited: 51.3
Arterial Hypertension ?--- Arterial Hypertension ?: 0.032302914002236616;;;TimesVisited: 51.9
Rheumatologic disease ?--- Rheumatologic disease ?: 0.032302914002236616;;;TimesVisited: 51.0
Who answered the questions? (choice=Health-care professional)--- Who answered the questions? (choice=Health-care professional): 0.032302914002236616;;;TimesVisited: 51.9
Age at arrival:--- From which company did the participant receive the vaccine?: 0.03314025488617489;;;TimesVisited: 50.0
BMI:--- Weight in kg:: 0.03314025488617489;;;TimesVisited: 50.5
Please specify drugs used. (choice=Cannabis)--- Drugs?: 0.03314025488617489;;;TimesVisited: 50.8
Headache ?--- Time of blood draw:: 0.03314025488617489;;;TimesVisited: 50.9
Nausea / vomiting ?--- Time of blood draw:: 0.03314025488617489;;;TimesVisited: 50.5
How much difficulty do you have climbing a flight of 10 stairs?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 0.03314025488617489;;;TimesVisited: 50.6
Muscle aches (Myalgia) ?.1--- Muscle aches (Myalgia) ?.1: 0.03314025488617489;;;TimesVisited: 50.2
Abdominal pain ?--- Time of blood draw:: 0.034005198344927434;;;TimesVisited: 49.5
Joint pain (Arthralgia) ?.1--- Joint pain (Arthralgia) ?.1: 0.034005198344927434;;;TimesVisited: 49.8
Age au recrutement:--- From which company did the participant receive the vaccine?: 0.03489897994328828;;;TimesVisited: 48.0
COPD (emphysema, chronic bronchitis) ?--- COPD (emphysema, chronic bronchitis) ?: 0.03489897994328828;;;TimesVisited: 48.2
Shortness of breath (Dyspnea) ?--- Time of blood draw:: 0.03489897994328828;;;TimesVisited: 48.2
Loss of taste / lost of smell ?.1--- Loss of taste / lost of smell ?: 0.03489897994328828;;;TimesVisited: 48.6
Result of the PCR test determining the participant's COVID status--- Long Covid: 0.03489897994328828;;;TimesVisited: 48.4
Has the participant been vaccinated?--- Time of blood draw:: 0.03489897994328828;;;TimesVisited: 48.6
Type of repeat hospital visit: (choice=Emergency room visit)--- Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?: 0.03489897994328828;;;TimesVisited: 48.3
Electronic cigarettes?--- Electronic cigarettes?: 0.035822911687452885;;;TimesVisited: 47.8
Psychiatric disease?--- Long Covid: 0.035822911687452885;;;TimesVisited: 47.4
ACE inhibitor or Angiotensin Receptor Blocker?--- Time of blood draw:: 0.035822911687452885;;;TimesVisited: 47.0
Joint pain (Arthralgia) ?--- Time of blood draw:: 0.035822911687452885;;;TimesVisited: 47.0
Runny nose (Rhinorrhea) ?--- Long Covid: 0.035822911687452885;;;TimesVisited: 47.5
Trouble speaking (Aphasia / Dysphasia) ?--- Trouble speaking (Aphasia / Dysphasia) ?: 0.035822911687452885;;;TimesVisited: 47.3
Trouble speaking (Aphasia / Dysphasia) ?--- Long Covid: 0.035822911687452885;;;TimesVisited: 47.6
Type of sample used for the PCR test determining the participant's COVID status:--- From which company did the participant receive the vaccine?: 0.035822911687452885;;;TimesVisited: 47.6
How was this follow-up completed?--- Time of blood draw:: 0.035822911687452885;;;TimesVisited: 47.9
Does the participant report persistent symptoms related to SARS-CoV-2 infection?--- Time of blood draw:: 0.035822911687452885;;;TimesVisited: 47.5
Mobility--- Time of blood draw:: 0.035822911687452885;;;TimesVisited: 47.2
Delay between the diagnosis and the follow-up visit--- Delay between the diagnosis and the follow-up visit: 0.035822911687452885;;;TimesVisited: 47.1
Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?--- Type of repeat hospital visit: (choice=Emergency room visit): 0.035822911687452885;;;TimesVisited: 47.1
How much difficulty do you have climbing a flight of 10 stairs?--- Breathlessness:: 0.035822911687452885;;;TimesVisited: 47.6
Height in m:--- Time of blood draw:: 0.03677838836498615;;;TimesVisited: 46.5
ACE inhibitor or Angiotensin Receptor Blocker?--- ACE inhibitor or Angiotensin Receptor Blocker?: 0.03677838836498615;;;TimesVisited: 46.4
