,Left,Right
55,Drugs?,Long Covid
56,Immunosupressed state?,Long Covid
57,Immunosupressed state?,Smoking status:
58,SEVERITY,Psychiatric disease?
59,SEVERITY,Rhinorrhea?
60,Electronic cigarettes?,Long Covid
61,Fatigue ?,Long Covid
62,Fever?,Long Covid
63,Fever?,Wheezing or stridor ?
64,HGO or insulin?,Confusion?
65,HGO or insulin?,Long Covid
66,HGO or insulin?,Conjunctivitis?
67,Conjunctivitis?,Long Covid
68,Conjunctivitis?,Other immunosuppressive medications?
69,HIV or AIDS ?,Drugs?
70,HIV or AIDS ?,Leg swelling (Edema) ?
71,HIV or AIDS ?,Long Covid
72,Leg swelling (Edema) ?,Anticoagulants?
73,Headache ?,Long Covid
74,Headache ?,Systemic corticosteroid?
75,Systemic corticosteroid?,Long Covid
76,Heart failure ?,Please specify drugs used. (choice=Amphetamines)
77,Please specify drugs used. (choice=Amphetamines),Chronic kidney disease ?
78,Please specify drugs used. (choice=Amphetamines),Long Covid
79,Please specify drugs used. (choice=Amphetamines),Rheumatologic disease ?
80,Please specify drugs used. (choice=Amphetamines),Skin rash ?
81,Height in m:,Long Covid
82,Height in m:,Malignant neoplasm - actively receiving treatment?
83,Height in m:,Seizure ?
84,Malignant neoplasm - actively receiving treatment?,Fever?
85,Malignant neoplasm - actively receiving treatment?,Long Covid
86,Malignant neoplasm - actively receiving treatment?,Prior transient ischemic attack (TIA) ?
87,Seizure ?,Cannabis
88,Rate current level of functioning?,Diarrhea ?
89,Rate current level of functioning?,Weight in kg:
90,Weight in kg:,BMI:
91,Psychiatric disease?,Healthcare Worker?
92,Rhinorrhea?,Chest pain ?
93,Rhinorrhea?,Long Covid
94,Smoking status:,Abdominal pain ?
95,Smoking status:,Long Covid
96,Smoking status:,Opiods
97,Healthcare Worker?,Long Covid
98,Is the participant employed in a Microbiology Laboratory?  ,Cough ?
99,Is the participant employed in a Microbiology Laboratory?  ,Fatigue ?
100,Is the participant employed in a Microbiology Laboratory?  ,Long Covid
101,Arthralgia?,Liver disease ?
102,Arthralgia?,Long Covid
103,Liver disease ?,Heart failure ?
104,Liver disease ?,Long Covid
105,Loss of appetite ?,ACE inhibitor or Angiotensin Receptor Blocker?
106,Loss of appetite ?,HIV or AIDS ?
107,Loss of appetite ?,Long Covid
108,Prior transient ischemic attack (TIA) ?,Other chronic neurological disorder (other than stroke/TIA) ?
109,Malnutrition ?,HGO or insulin?
110,Malnutrition ?,Long Covid
111,Malnutrition ?,Myalgia?
112,Myalgia?,Is the participant employed in a Microbiology Laboratory?  
113,Myalgia?,Long Covid
114,Myalgia?,Nausea / vomiting ?
115,Nausea / vomiting ?,Dizziness ?
116,Nausea / vomiting ?,Rate current level of functioning?
117,Please specify drugs used. (choice=Other),Arterial Hypertension ?
118,Please specify drugs used. (choice=Other),Long Covid
119,Other chronic lung disease ? ,Long Covid
120,Other chronic neurological disorder (other than stroke/TIA) ?,Arthralgia?
121,Other immunosuppressive medications?,Colchicine?
122,Other immunosuppressive medications?,Other chronic lung disease ? 
123,Rheumatologic disease ?,COPD
124,Rheumatologic disease ?,Coronary artery disease ?
125,Rheumatologic disease ?,Long Covid
126,Skin rash ?,Long Covid
127,Skin rash ?,Malnutrition ?
128,Cannabis,Atrial fibrillation or flutter ?
129,Cannabis,Long Covid
