,Left,Right
56,Atrial fibrillation or flutter ?,Sore throat ?
57,djunctive therapy?,SEVERITY
58,Sore throat ?,SEVERITY
59,Bacteremia?,SEVERITY
60,Bacterial pneumonia?,Heart rate (associated with BP):
61,Bacterial pneumonia?,Pleural effusion?
62,Bacterial pneumonia?,Total Bilirubin:
63,Heart rate (associated with BP):,CRP (HIGHEST)
64,Pleural effusion?,SEVERITY
65,Pleural effusion?,Malignant neoplasm ?
66,Pleural effusion?,Plaquenil treatment
67,Total Bilirubin:,Nausea / vomiting ?
68,Total Bilirubin:,Number of other complications:
69,Baseline creatinine:,SEVERITY
70,Baseline creatinine:,Blood transfusion
71,Baseline creatinine:,Prone positioning
72,Blood transfusion,SEVERITY
73,Blood transfusion,Headache ?
74,CRP (HIGHEST),CRP
75,CRP (HIGHEST),SEVERITY
76,CRP (HIGHEST),Self-care
77,COPD,Atrial fibrillation or flutter ?
78,COPD,Respiratory rate (associated with BP above):
79,Respiratory rate (associated with BP above):,Systemic corticosteroid?
80,Chest pain ?,SEVERITY
81,Chest pain ?,Plasma treatment
82,Plasma treatment,Neuromuscular blocking agents
83,Chronic hematologic disease ?,Cough ?.1
84,New atrial fibrillation or flutter?,Creatinine (HIGHEST)
85,New atrial fibrillation or flutter?,SEVERITY
86,New atrial fibrillation or flutter?,Arthralgia?
87,New atrial fibrillation or flutter?,Rhabdomyolysis or myositis?
88,Cough ?.1,Diarrhea ?
89,Chronic kidney disease ?,SEVERITY
90,Chronic kidney disease ?,Weight in kg:
91,Weight in kg:,FiO2:
92,Weight in kg:,BMI:
93,Weight in kg:,SEVERITY
94,Confusion?,Glucose (HIGHEST)
95,Confusion?,SEVERITY
96,Glucose (HIGHEST),SEVERITY
97,Glucose (HIGHEST),Invasive with mechanical ventilation
98,Confusion?.1,Eosinophil (x 10^9/L):
99,Eosinophil (x 10^9/L):,SEVERITY
100,Coronary artery disease ?,SEVERITY
101,Diarrhea ?,Dizziness ?
102,Creatinine (HIGHEST),Total WBC count (HIGHEST) 
103,Creatinine:,APTT(HIGHEST)
104,D-Dimer (HIGHEST),Creatinine:
105,D-Dimer:,ACE inhibitor or Angiotensin Receptor Blocker?
106,D-Dimer:,D-Dimer (HIGHEST)
107,D-Dimer:,Urea:
108,Urea:,SEVERITY
109,DVT,Confusion?.1
110,Dementia ? ,SEVERITY
111,Dementia ? ,Neutrophil (relative value) (HIGHEST)
112,Neutrophil (relative value) (HIGHEST),ALT (HIGHEST)
113,Neutrophil (relative value) (HIGHEST),SEVERITY
114,Neutrophil (relative value) (HIGHEST),Pulmonary hypertension ?
115,Diabetes ?,other comorbidities?
116,Diabetes ?,SEVERITY
117,Diabetes ?,Systolic BP:
118,other comorbidities?,GCS - lowest:
119,other comorbidities?,SEVERITY
120,Systolic BP:,SEVERITY
121,Systolic BP:,Dialysis or hemofiltration
122,Dizziness ?,Extremity weakness or numbness ?.1
123,Diastolic BP:,SEVERITY
124,Diastolic BP:,Smoking status:
125,Smoking status:,Non-invasive ventilation CPAP/BPAP
126,Smoking status:,Other immunomodulator treatment
127,Diastolic BP:.1,SEVERITY
128,Diastolic BP:.1,Other immunosuppressive medications?
129,Diastolic BP:.1,Procalcitonin (PCT):
130,Diastolic BP:.1,Temperature:.1
131,Procalcitonin (PCT):,Coronary artery disease ?
132,Temperature:.1,Anemia?
133,Temperature:.1,Anticoagulants?
134,Temperature:.1,SEVERITY
135,Disposition:,SEVERITY
136,Extremity weakness or numbness ?.1,Fever?
137,Extremity weakness or numbness ?.1,Vasopressor/inotropic support2
138,Extremity weakness or numbness ?.1,Potassium K+:
139,Dizziness ?.1,SEVERITY
140,persistent symptoms related to COVID,SEVERITY
141,Temperature:,SEVERITY
142,Temperature:,Extracorporeal membrane oxygenation
143,Endocarditis? ,SEVERITY
144,Eosinophil (relative value) (HIGHEST),SEVERITY
145,Fever?,Diabetes ?
146,Fever?,HGO or insulin?
147,Vasopressor/inotropic support2,SEVERITY
148,Vasopressor/inotropic support2,LDH:
149,Potassium K+:,Fatigue ?
150,Fatigue ?,Cough ?
151,Fatigue ?,SEVERITY
152,Fatigue ?,"On arrival, SpO2 on oxygen:"
153,Fatigue ?.1,Oxygen therapy with cannula/mask
154,Fatigue ?.1,Ventilatory support:
155,Oxygen therapy with cannula/mask,ventilatory support?
156,Oxygen therapy with cannula/mask,SEVERITY
157,Ventilatory support:,is the participant receiving oxygen ?
158,Ventilatory support:,Rate current level of functioning?
159,Ventilatory support:,Non-invasive cannula/mask support
160,HGO or insulin?,Breathlessness:
161,HGO or insulin?,New or worsening disease?
162,FiO2 (associated with the previous SpO2):,Fatigue ?.1
163,FiO2 (associated with the previous SpO2):,Headache ?.1
164,FiO2 (associated with the previous SpO2):,Living where?
165,Headache ?.1,COPD
166,Headache ?.1,persistent symptoms related to COVID
167,Living where?,SEVERITY
168,Living where?,Tracheostomy2
169,Living where?,Usual activities
170,Invasive with mechanical ventilation,SEVERITY
171,Glucose:,SEVERITY
172,Glucose:,Other antiviral treatment
173,Other antiviral treatment,SEVERITY
174,Other antiviral treatment,Systematic corticosteroid treatment
175,New or worsening disease?,Diastolic BP:
176,New or worsening disease?,Hemoptysis / Bloody sputum ?
177,New or worsening disease?,Influenza
178,Haemoglobin :,Haemoglobin (LOWEST)
179,Haemoglobin :,SEVERITY
180,Hemoptysis / Bloody sputum ?,times fallen?
181,Influenza,Confusion?
182,Influenza,SEVERITY
183,times fallen?,Immunosupressed state?
184,times fallen?,Kaletra treatment
185,Immunosupressed state?,Healthcare Worker?
186,Kaletra treatment,Endocarditis? 
187,difficulty transferring from a chair to bed?,Haemoglobin :
188,difficulty transferring from a chair to bed?,SEVERITY
189,difficulty transferring from a chair to bed?,Tracheostomy
190,difficulty walking across a room?,IVIG treatment
191,IVIG treatment,Arterial Hypertension ?
192,IVIG treatment,difficulty carrying/lifting 10lbs
193,IVIG treatment,SEVERITY
194,Rate current level of functioning?,SEVERITY
195,Metapneumovirus,Sex:
196,Platelet (LOWEST),Platelets:
197,non-invasive HFNC,FiO2 (associated with the previous SpO2):
198,non-invasive HFNC,Non-invasive CPAP/BPAP
199,iNO,SEVERITY
200,iNO,Myocarditis?
201,Myocarditis?,Diastolic BP:.1
202,Myocarditis?,difficulty walking across a room?
203,Neuromuscular blocking agents,SEVERITY
204,Neuromuscular blocking agents,Invasive support with mechanical ventilation
205,Neuromuscular blocking agents,Other cardiac arrhythmia?
206,Neuromuscular blocking agents,Interferon beta treatment
207,Neuromuscular blocking agents,Bacteremia?
208,Other cardiac arrhythmia?,SEVERITY
209,Other cardiac arrhythmia?,HFNC
210,Other cardiac arrhythmia?,Patient pregnant?
211,Interferon beta treatment,Sex:
212,Non-invasive cannula/mask support,Chest pain ?
213,Non-invasive cannula/mask support,Oxygen therapy
214,Oxygen therapy,Emergency visit only?
215,Non-invasive CPAP/BPAP,SEVERITY
216,Non-invasive CPAP/BPAP,Viral pneumonia/pneumonitis?
217,Viral pneumonia/pneumonitis?,SEVERITY
218,Adenovirus,Sex:
219,Sex:,Height in m:
220,Sex:,SEVERITY
221,Sex:,Sex at birth:
222,Sex:,Interferon alpha treatment
223,Parainfluenza,Sex:
224,RSV,Bacterial pneumonia?
225,RSV,SEVERITY
226,RSV,Neutrophils (relative value):
227,Extracorporeal membrane oxygenation,SEVERITY
228,HFNC,Lymphocyte (relative value) (LOWEST)
229,Lymphocyte (relative value) (LOWEST),Glucose:
230,Lymphocyte (relative value) (LOWEST),Neuromuscular blocking agents
231,Lymphocyte (relative value) (LOWEST),Rhinorrhea?
232,Lymphocyte (relative value) (LOWEST),VT/VF?
233,High-frequency oscillatory ventilation,Sex:
234,Inhaled nitric oxide,SEVERITY
235,Non-invasive ventilation CPAP/BPAP,Adjunctive therapy during hospitalization
236,Non-invasive ventilation CPAP/BPAP,SEVERITY
237,Tracheostomy2,SEVERITY
238,Tracheostomy2,Rheumatologic disease ?
239,Rheumatologic disease ?,SEVERITY
240,Rheumatologic disease ?,Inhaled nitric oxide
241,LDH:,Acute kidney injury?
242,LDH:,SEVERITY
243,Healthcare Worker?,Baseline creatinine:
244,Healthcare Worker?,Arthralgia ?.1
245,INR (HIGHEST),SEVERITY
246,INR (HIGHEST),INR:
247,INR (HIGHEST),Number of other comorbidities:
248,INR (HIGHEST),Pneumothorax?
249,INR:,Ability to self-care at discharge versus pre-COVID:
250,INR:,LDH (HIGHEST)
251,Pneumothorax?,SEVERITY
252,LDH (HIGHEST),Neuraminidase inhibitor treatment
253,Arthralgia ?.1,Chronic kidney disease ?
254,Arthralgia ?.1,Level of care (final)
255,Arthralgia ?.1,Loss of taste / lost of smell ?.1
256,Level of care (final),SEVERITY
257,Loss of taste / lost of smell ?.1,Adenovirus
258,Loss of taste / lost of smell ?.1,Myalgia?.1
259,Neuraminidase inhibitor treatment,Obesity ?
260,Liver dysfunction?,Disposition:
261,Liver dysfunction?,SEVERITY
262,Liver dysfunction?,Total WBC count:
263,Liver dysfunction?,Total bilirubin (HIGHEST)
264,Liver dysfunction?,Other antibiotic treatment
265,Total WBC count:,Loss of taste / lost of smell ?
266,Total bilirubin (HIGHEST),High-frequency oscillatory ventilation
267,Total bilirubin (HIGHEST),Sodium Na+ (HIGHEST)
268,Other antibiotic treatment,SEVERITY
269,Other antibiotic treatment,Monocyte (x 10^9/L):
270,Other antibiotic treatment,Vital status at discharge:
271,Usual activities,SEVERITY
272,Loss of taste / lost of smell ?,SEVERITY
273,Myalgia?.1,Other chronic cardiac disease ?
274,Rhinorrhea?,SEVERITY
275,Rhinorrhea?,Pulmonary embolism?
276,VT/VF?,SpO2 on oxygen:
277,VT/VF?,Neutrophil (x 10^9/L):
278,VT/VF?,Sodium Na+:
279,VT/VF?,Ribavirin treatment
280,Lymphocyte (x 10^9/L):,difficulty transferring from a chair to bed?
281,Malignant neoplasm ?,Albumin
282,Monocyte (x 10^9/L):,SEVERITY
283,Monocyte (x 10^9/L):,RSV
284,Other chronic cardiac disease ?,Other chronic lung disease ? 
285,Nausea / vomiting ?,SEVERITY
286,Nausea / vomiting ?,Blood transfusion
287,Nausea / vomiting ?,Positive bacterial culture during hospitalization?
288,Positive bacterial culture during hospitalization?,SEVERITY
289,Positive bacterial culture during hospitalization?,Zithromax treatment
290,Pulmonary hypertension ?,SEVERITY
291,Neutrophil (x 10^9/L):,Systolic BP:.1
292,Systolic BP:.1,Dizziness ?.1
293,Systolic BP:.1,SEVERITY
294,Rhabdomyolysis or myositis?,Other COVID-19 treatments
295,O2 saturation at room air :.1,SEVERITY
296,O2 saturation at room air :.1,"On arrival, receiving oxygen ?"
297,"On arrival, receiving oxygen ?",SEVERITY
298,"On arrival, receiving oxygen ?",INR (HIGHEST)
299,"On arrival, receiving oxygen ?",Lymphocyte (relative value):
300,Patient pregnant?,SEVERITY
301,Other chronic lung disease ? ,Other chronic neurological disorder (other than stroke/TIA) ?
302,Other chronic neurological disorder (other than stroke/TIA) ?,iNO
303,Other chronic neurological disorder (other than stroke/TIA) ?,Pain and discomfort:
304,Other chronic neurological disorder (other than stroke/TIA) ?,Stroke?
305,Pain and discomfort:,DVT
306,Pain and discomfort:,Psychiatric disease?
307,Stroke?,Myalgia?
308,Psychiatric disease?,D-Dimer:
309,Psychiatric disease?,Dyspnea?.1
310,Psychiatric disease?,Anakinra treatment
311,Platelets:,Abdominal pain ?
312,Platelets:,O2 saturation at room air :.1
313,Plaquenil treatment,"Other(s), specify"
314,Zithromax treatment,SEVERITY
315,Potassium K+ (HIGHEST),SEVERITY
316,Dyspnea?.1,Skin rash ?.1
317,Systemic corticosteroid?,SEVERITY
318,Systemic corticosteroid?,Age during recruitment
319,Other COVID-19 treatments,SEVERITY
320,Other COVID-19 treatments,Skin rash ?
321,Sex at birth:,Potassium K+ (HIGHEST)
322,Skin rash ?.1,Sore throat ?.1
323,Sore throat ?.1,Actemra treatment
324,Sodium Na+ (HIGHEST),SEVERITY
325,Sodium Na+:,Eosinophil (relative value) (HIGHEST)
326,Sodium Na+:,Parainfluenza
327,Actemra treatment,APTT
328,Actemra treatment,SEVERITY
329,Age during recruitment,SEVERITY
330,Systematic corticosteroid treatment,Lymphocyte (x 10^9/L):
331,Ribavirin treatment,Sex:
