,Left,Right
57,difficulty carrying/lifting 10lbs,Long Covid
58,Which company for vaccine?,Abdominal pain ?
59,Which company for vaccine?,Collected:
60,Which company for vaccine?,Dizziness ?
61,Which company for vaccine?,How was this follow-up completed?
62,Which company for vaccine?,SEVERITY
63,Which company for vaccine?,Number of doses received:
64,How was this follow-up completed?,Blood drawn for the BQC19?
65,How was this follow-up completed?,Delay between the onset of symptoms  and the draw blood 
66,SEVERITY,Obesity ?
67,Number of doses received:,Pulmonary hypertension ?
68,New or worsening disease?,Long Covid
69,New or worsening disease?,from 0 to 100 how is your health TODAY?
70,from 0 to 100 how is your health TODAY?,Usual activities
71,Have you been diagnosed with a new or recurrent case of COVID since your last follow-up?,Living with?
72,Have you been diagnosed with a new or recurrent case of COVID since your last follow-up?,Long Covid
73,Have you been diagnosed with a new or recurrent case of COVID since your last follow-up?,Wheezing or stridor ?
74,Living with?,Asymptomatic?
75,Living with?,Long Covid
76,Wheezing or stridor ?,Long Covid
77,Hemoptysis / Bloody sputum ?,times fallen?
78,times fallen?,Healthcare Worker?
79,Healthcare Worker?,Is the participant employed in a Microbiology Laboratory?  
80,difficulty transferring from a chair to bed?,Long Covid
81,difficulty transferring from a chair to bed?,Rhinorrhea?
82,Rhinorrhea?,Extremity weakness or numbness ?
83,Rhinorrhea?,Long Covid
84,Rhinorrhea?,Myalgia?
85,difficulty walking across a room?,Long Covid
86,difficulty walking across a room?,Loss of appetite ?
87,Loss of appetite ?,Long Covid
88,Rate current level of functioning?,persistent symptoms related to COVID
89,Obesity ?,Long Covid
90,Is the participant employed in a Microbiology Laboratory?  ,Arthralgia ?.1
91,Arthralgia ?.1,Malignant neoplasm ?
92,Arthralgia ?.1,Prior transient ischemic attack (TIA) ?
93,Malignant neoplasm ?,Myalgia?.1
94,Prior transient ischemic attack (TIA) ?,Anxiety and depression
95,Prior transient ischemic attack (TIA) ?,Long Covid
96,Loss of taste / lost of smell ?.1,Fatigue ?.1
97,Loss of taste / lost of smell ?.1,Loss of taste / lost of smell ?
98,Loss of taste / lost of smell ?.1,Psychiatric disease?
99,Psychiatric disease?,Was this follow-up visit completed?
100,Myalgia?.1,Other chronic cardiac disease ?
101,Myalgia?,BMI:
102,Other chronic cardiac disease ?,Other chronic neurological disorder (other than stroke/TIA) ?
103,Nausea / vomiting ?,Asthma ?
104,Nausea / vomiting ?,Height in m:
105,Number of comorbidities: ,other comorbidities?
106,Number of comorbidities: ,Which company for vaccine?
107,Number of comorbidities: ,difficulty transferring from a chair to bed?
108,Number of comorbidities: ,Long Covid
109,Pulmonary hypertension ?,COPD
110,Pulmonary hypertension ?,Long Covid
111,Other chronic neurological disorder (other than stroke/TIA) ?,Patient pregnant?
112,Other chronic lung disease ? ,Any side effects?
113,Other chronic lung disease ? ,Fatigue ?
114,Other chronic lung disease ? ,Long Covid
115,Other chronic lung disease ? ,Type of sample used for the PCR test determining the participant's COVID status:
116,Type of sample used for the PCR test determining the participant's COVID status:,Country of birth:
117,Type of sample used for the PCR test determining the participant's COVID status:,Long Covid
118,Type of sample used for the PCR test determining the participant's COVID status:,Sex:
119,Patient pregnant?,Drugs?
120,Patient pregnant?,Nausea / vomiting ?
121,Skin rash ?,Ear pain ?
122,Skin rash ?,Have you been diagnosed with a new or recurrent case of COVID since your last follow-up?
123,Usual activities,Rate current level of functioning?
124,Conjunctivitis?,Rheumatologic disease ?
125,Prior myocardial infarction ?,New or worsening disease?
126,Prior myocardial infarction ?,Long Covid
127,Prior myocardial infarction ?,Other chronic lung disease ? 
128,Was this follow-up visit completed?,Long Covid
129,Rheumatologic disease ?,Smoking status:
130,Smoking status:,Sore throat ?
131,Smoking status:,Who answered the questions? (choice=Health-care professional)
132,Sex:,Long Covid
133,Sex:,Number of comorbidities: 
134,Sex:,Sex at birth:
135,Dyspnea?,ACE inhibitor or Angiotensin Receptor Blocker?
136,Dyspnea?,Chest pain ?
137,Sore throat ?,Confusion?
138,Who answered the questions? (choice=Health-care professional),Long Covid
